id,period,publication_date,prior_target,advance,scope,resistance,difficulty_score,category,framing_year,solution_year,age_decades,provisional,description,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence,challenge_policy_version,challenge_audit_status
25--10,2025-09,2025-09-25,1,2,1,0,4,Difficult,,2025,,0,optimality of black-box amplification in qma. doubly exponential completeness amplification is optimal for polynomial-resource black-box procedures. gpt-5 supplied a resolvent-trace idea used as a key technical step. proved lower bound . conventional expert-authored preprint; a coauthor publicly documented the model's role. \\,Doubly exponential completeness amplification is optimal for polynomial-resource black-box QMA amplification procedures.,A preceding black-box construction made the attainable doubly exponential rate explicit and raised the matching optimality question publicly.,"The paper proves a matching lower bound, completing the quantitative black-box characterization rather than merely improving one side.",The lower bound quantifies over the full class of polynomial-resource black-box amplification procedures.,"The preceding construction defines the exact target, but the cited oracle-separation work addresses a broader qualitative boundary rather than a second independent attempt on this quantitative optimum.","The precise quantitative optimality target arose in 2025, so the much older qualitative perfect-completeness question cannot supply a decade-scale framing date.",high,0.1.0,pending_v1_audit
25--11,2025-10,2025-10-22,1,2,0,0,3,Superhuman,2014,2025,1.1,0,"majority optimality in nicd with erasures. a five-bit unbiased boolean function beats five-bit majority at erasure probability , disproving the proposed optimality of majority. counterexample . the note verifies the finite computation step by step by hand. \\","At n equals 5 and erasure probability 0.40, majority is not optimal for non-interactive correlation distillation, disproving the universal majority-optimality conjecture.",The exact question of majority optimality in the erasure model appeared publicly in the 2014 Simons Real Analysis in Computer Science open-problem collection.,A verified finite counterexample completely resolves the universal conjecture in the negative.,The decisive witness is a fixed five-bit instance at one erasure probability.,The source does not document two independent prior attempts on this exact non-interactive correlation-distillation question.,"The precise public target dates to 2014 and was settled in 2025, an elapsed duration of 11 years or 1.1 decades.",high,0.1.0,pending_v1_audit
25--12,2025-10,2025-10-27,1,2,1,1,5,Superhuman,1983,2025,4.2,0,"point convergence of nesterov acceleration. the standard accelerated gradient method has point convergence in the paper's convex smooth setting, resolving a question open since the method's introduction. proved . expert-authored preprint with a documented elicitation process. \\","For the classical accelerated gradient method on smooth convex objectives, the iterates themselves converge, resolving the point-convergence question.",Point convergence for Nesterov's accelerated method had remained open since the method's 1983 introduction.,The theorem proves convergence of the iterates and thereby settles the longstanding question rather than improving a rate bound.,The result is uniform over the stated general class of smooth convex objectives.,"The literature reviewed in the paper contains multiple independent attempts and partial convergence results, including work beginning well before the final proof.","The exact target is traced to 1983 and was solved in 2025, an elapsed duration of 42 years or 4.2 decades.",high,0.1.0,pending_v1_audit
25--13,2025-11,2025-11-20,1,2,1,1,5,Superhuman,1992,2025,3.3,0,"erdos problem 848. for sufficiently large , the extremal family of integers whose pairwise sums are never squarefree has the asserted maximum size, with near-uniqueness of the extremizers. proved . complete expert-written proof. \\","For all sufficiently large N, the largest sets A in the first N integers for which ab plus 1 is never squarefree are attained by the residue class 7 modulo 25, with the stated near-uniqueness.","Erdos posed the exact extremal problem as Problem 23 in a 1992 paper, later catalogued as Erdos Problem 848.",The theorem determines the extremal construction for all sufficiently large N and supplies the corresponding structural characterization.,The conclusion holds over the unbounded family of all sufficiently large N.,"The source records distinct prior work and attempted approaches by van Doorn, Weisenberg and Cambie on the same problem.","The precise target was published in 1992 and solved in 2025, an elapsed duration of 33 years or 3.3 decades.",high,0.1.0,pending_v1_audit
25--14,2025-11,2025-11-20,0,2,1,0,3,Difficult,,2025,,0,"follow-the-leader for nested convex-body chasing. the minimum-norm rule can incur arbitrarily large cost even in two dimensions, so its competitive ratio is infinite. counterexample . human expert corrected minor inaccuracies and presented the proof. \\",The minimum-norm follow-the-leader rule has unbounded competitive ratio even for nested convex-body chasing in two dimensions.,The author reports formulating this natural follow-the-leader question during the project rather than inheriting an exact public conjecture.,An explicit adversarial family completely resolves that algorithmic question in the negative by forcing arbitrarily bad ratios.,"Although the dimension is fixed, the construction is an unbounded family of instances establishing a worst-case impossibility result.",No two earlier attempts on the newly formulated exact question are documented.,Not eligible for the duration override because the target was formulated in the course of the 2025 work.,high,0.1.0,pending_v1_audit
25--15,2025-11,2025-11-20,1,1,1,1,4,Difficult,,2025,,0,"convex-body chasing lower bounds. a cleaner and stronger lower-bound construction for arbitrary online algorithms was obtained, with a higher-dimensional extension by orthogonal decomposition. improved bound . expert-written proof documenting useful and failed attempts. \\",Any online algorithm for nested convex-body chasing has competitive ratio at least pi over 2 times the square root of floor d over 2.,"The dimension-dependent lower-bound frontier for convex-body chasing was public, with prior square-root-d and two-dimensional bounds.",The theorem strengthens the general lower bound but does not close the gap to the best upper bound or give a sharp ratio.,The result applies to arbitrary online algorithms across an unbounded range of dimensions.,"The paper builds on multiple independent lower-bound efforts, including the earlier square-root-d construction and the separate 1.5358 two-dimensional bound.",Not eligible for the duration override because this is a lower-bound improvement rather than a complete resolution.,high,0.1.0,pending_v1_audit
25--16,2025-11,2025-11-20,1,2,1,1,5,Superhuman,2013,2025,1.2,0,second tree-profile inequality. the remaining open inequality among the first two conjectured faces for induced five-vertex subtree counts is true. proved . ai-generated proof with expert checking and editorial rewriting. \\,"Every finite tree satisfies 29Y minus 42P minus 144S less than or equal to 504, resolving the second tree-profile inequality conjecture.",The exact second tree-profile inequality appeared in a 2013 preprint and remained open after the associated 2016 follow-up work.,"The proof establishes the conjectured inequality for every finite tree, completely settling the target.","The quantifier ranges uniformly over all finite trees, an unbounded combinatorial class.",The original tree-profile paper and a later study by a partially different author group are two distinct documented attacks that proved related cases and isolated the remaining inequality.,"The exact conjecture dates to 2013 and was proved in 2025, an elapsed duration of 12 years or 1.2 decades.",high,0.1.0,pending_v1_audit
25--17,2025-11,2025-11-20,1,1,1,0,3,Difficult,,2025,,0,"identifiability in a dynamic random network. in an attractiveness-weighted preferential-attachment tree, the hidden parameter is identifiable from one large unlabelled tree through the limiting fraction of leaves. proved . humans filled routine stochastic-approximation details. \\","In equal-mixture attractiveness-weighted preferential-attachment trees, the limiting leaf fraction is strictly increasing in the weight and yields a consistent estimator of that weight.",A 2012 COLT open problem publicly asked for estimation with a polynomial convergence rate and a somewhat more general mixing parameter.,"The theorem proves identifiability and consistency in the equal-mixture case, but it does not deliver the requested polynomial rate or the full parameter generality.","The statement covers an unbounded random-tree process and a range of weights, not one finite graph.",The available account does not document two independent prior attempts on the exact 2012 estimation target.,Not eligible for the duration override because the advance is a partial resolution of the older target.,high,0.1.0,pending_v1_audit
25--18,2025-11,2025-11-28,1,1,0,1,3,Difficult,,2025,,0,thetaevolve open-problem portfolio. a single open-source 8b model improved reported bounds on circle packing and the first autocorrelation inequality. two improved bounds . aggregate portfolio entry supported by released code and a technical report. \\,A step-function construction improves the upper bound on the first autocorrelation-inequality constant from 1.503164 to 1.503133.,Minimizing the published upper bound on this named autocorrelation constant is an explicit public optimization target.,The new witness improves the upper bound but does not determine the sharp value of the constant.,The scored advance is one finite computational witness rather than a uniform theorem over an unbounded input class.,A prior human construction and the separate AlphaEvolve construction are independent documented attacks on the same upper-bound target.,"Not eligible for the duration override because the result is a numerical record improvement, not a complete settlement.",high,0.1.0,pending_v1_audit
25--19,2025-12,2025-12-10,0,1,1,0,2,Expected,,2025,,0,"grover-compatible manifold optimization. a human--ai workflow identified invariant subspaces, constructed compatible retractions, and established convergence guarantees for a retraction-based gradient method. theory and convergence results . human authors refined outputs into precise statements and rigorous proofs. \\",Grover-compatible retractions on invariant subspaces support a retraction-based Riemannian gradient method with proved convergence guarantees.,"The paper describes the Grover-compatible manifold-optimization target as emerging through the authors' human-AI exploration, not as a pre-existing exact public problem.",The work establishes a material framework and convergence theorems but does not completely settle an externally framed sharp target.,The theorems range over general invariant subspaces and objective functions within the stated framework.,No independent prior attempts on the newly formulated exact framework are documented.,Not eligible for the duration override because there was no precise public target predating the project and the advance is not a complete classification.,high,0.1.0,pending_v1_audit
25--20,2025-12,2025-12-16,0,2,1,0,3,Difficult,,2025,,0,"extremal descendant integrals. for pure -class intersection numbers on , the minimum occurs when all but one exponent vanish, while balanced exponent vectors maximize the value. proved , with partial . the paper exposes prompts, attribution, and a partial lean development. \\","For all stable genus and marking data, extremal descendant integrals are minimized by concentrated exponents and maximized by balanced exponents.","The authors report that the conjecture itself was discovered during the AI-assisted project, so it was not a pre-existing public target.",The theorem gives the sharp minimum and maximum and classifies the extremizers across the stated domain.,"The classification is uniform over the unbounded family of stable genera, numbers of markings and exponent vectors.",There were no documented prior attempts on the newly generated exact conjecture.,Not eligible for the duration override because the precise target did not predate the 2025 project.,high,0.1.0,pending_v1_audit
135,2026-02,2026-02-02,0,1,1,0,2,Expected,,2026,,0,"multivariate independence-polynomial lower bounds. aletheia, built on gemini deep think, supplied an exact key lemma for the multivariate theorem and significant ideas and reductions for the two-colour semiproper theorem; the authors completed both proofs, and a later revision reported a lean formalization of the second theorem.","Every finite simple graph satisfies the stated degree-product lower bound for its multivariate independence polynomial, with equality characterization, and the analogous two-proper-colour semiproper partition function satisfies its stated multivariate lower bound.","The prior univariate inequality motivates the extension, but no qualifying predating source is established for the exact multivariate and two-colour package.",The package gives two material new general lower-bound theorems but does not settle the authors' broader conjecture for every antiferromagnetic model.,Both inequalities hold for every finite simple graph and all nonnegative vertex weights.,No qualifying independent pre-solution attempts at the exact two-theorem package are documented.,"No precise predating framing date is established for the bounded package, so no duration override is applied.",high,0.1.0,pending_v1_audit
21,2026-02,2026-02-03,1,2,1,0,4,Difficult,2022,2026,0.4,0,fel's syzygy conjecture. the normalized alternating syzygy power sums of a numerical semigroup satisfy fel's explicit formula in terms of gap power sums and universal symmetric polynomials. proved +. fully formalized in lean/mathlib and presented in a mathematical paper. \\,Fel's conjectured syzygy power-sum identity holds for every numerical semigroup and every p >= 0.,"Fel stated the exact identity as Conjecture 1 in 2022, before this proof.",The paper proves the conjecture in full rather than treating a special case or numerical sample.,The theorem is uniform over all numerical semigroups and all nonnegative p.,"The source trail shows the originating conjecture and related work, but not two independent published attempts at the exact target.",Framed in 2022 and solved in 2026: 4 years = 0.4 decades.,high,0.1.0,pending_v1_audit
22,2026-02,2026-02-03,1,2,1,0,4,Difficult,2022,2026,0.4,0,"parity of -differentials in genus zero and one. the number-theoretic hypothesis underlying the previously conditional spin-parity classification is true, making the geometric result unconditional. proved with on the key combinatorial identity. the paper does not claim full end-to-end formalization of every geometric step. \\","The parity conjecture for odd k-differentials holds, making the genus-zero and genus-one classification unconditional.",Chen and Gendron stated the exact claim as Conjecture A.10 in 2022.,"The result proves the conjecture completely, not merely another genus or stratum subcase.",It applies uniformly to the relevant odd-k differential strata and completes the genus-zero and genus-one classification.,"Only the originating paper and related developments were located, not two independent attacks on this exact conjecture.",Framed in 2022 and solved in 2026: 4 years = 0.4 decades.,high,0.1.0,pending_v1_audit
24,2026-02,2026-02-04,0,1,1,0,2,Expected,,2026,,0,"partial regularity of primes. for every , a density-one subset of primes is partially regular through the range , with a partial vandiver consequence. proved +. main theorem fully formalized in lean/mathlib. \\",A density-one family of primes has the paper's partial-regularity property for every alpha > 1/2.,The exact partial-regularity statement is introduced and posed in the same paper; the older Vandiver conjecture is broader and is not this target.,"This is a material new partial-regularity theorem, but it does not settle the broader Vandiver problem.",The density-one conclusion is uniform for every alpha > 1/2 rather than being a fixed-prime computation.,No two independent pre-solution attempts at this newly formulated target were available.,"There is no pre-existing exact framing year, so the historical-age override does not apply.",high,0.1.0,pending_v1_audit
43,2026-03,2026-03-05,1,2,1,1,5,Difficult,2024,2026,0.2,0,"cosmic-string radiation integral. exact analytical evaluations of the core integral for arbitrary loop geometries, together with large- asymptotics, yield the gravitational-radiation power spectrum. open problem resolved . analytical paper with numerical cross-checks; not a proof-assistant formalization. \\","The cosmic-string radiation integral I(N, alpha) has an exact solution for arbitrary loop geometry.",Storm and Scherrer isolated the exact integral and target in 2024.,The paper gives the exact arbitrary-geometry solution rather than another parity case or asymptotic approximation.,The expression applies across arbitrary geometry and general N within the model.,The 2024 formulation and a separate 2025 partial or asymptotic treatment provide two independent pre-solution research attempts.,"Framed in 2024 and solved in 2026: 2 years = 0.2 decades, below the historical threshold.",high,0.1.0,pending_v1_audit
198,2026-03,2026-03-10,0,2,1,0,3,Difficult,,2026,,0,"latin-square imbalance lower bound and finite-range sharp constructions. a human-directed claude opus 4.5 neurosymbolic workflow recognized a parity structure, formulated hypotheses and drafted the elementary proof; humans made the strategic pivot, guided and validated the work, while model review and lean exposed errors. the universal lower bound applies for every n congruent to one modulo three, while matching near-perfect constructions are established only for 4 at most n at most 52.","For every n congruent to 1 modulo 3, every n-by-n Latin square L has imbalance I(L) at least 4n(n-1)/9; for 4 <= n <= 52, near-perfect permutations yield circulant Latin squares attaining equality.",The source presents the imbalance endpoint as a discovery made within the project rather than a precise public target predating it.,"The theorem proves a universal lower bound and the construction shows sharpness through n=52, without claiming equality constructions in every admissible order.",The lower bound is uniform over every Latin square in an unbounded congruence class of orders.,The paper documents computational exploration but not two independent pre-solution attacks on this exact lower bound.,"No predating framing year for the exact imbalance endpoint was established, so no duration override applies.",high,0.1.0,pending_v1_audit
42,2026-03,2026-03-16,0,1,1,0,2,Expected,,2026,,0,"vlasov--maxwell--landau equilibrium. under the stated smoothness and decay assumptions, a steady state on the torus is a spatially uniform maxwellian, with vanishing electric field and constant magnetic field. proved +. full lean 4 development; one mathematician supervised and audited definitions. \\",The paper establishes its full equilibrium theorem for the Vlasov-Maxwell-Landau system under the stated smoothness hypotheses.,The authors say that this precise theorem did not previously appear in the literature and arose from a question posed during the 2026 project.,"It is a substantive new theorem, but not the settlement of a documented pre-existing exact target.",The theorem ranges over all smooth steady states satisfying the hypotheses.,There could not be two independent pre-solution attacks on the newly formulated exact statement.,"There is no pre-existing exact framing year, so the historical-age override does not apply.",high,0.1.0,pending_v1_audit
13,2026-03,2026-03-31,1,1,1,0,3,Difficult,1979,2026,4.7,0,small prime factors of binomial coefficients. the relevant threshold for small prime divisors of has a polylogarithmic upper bound and is logarithmically large for infinitely many . bounds proved . human authors state the proofs were entirely model-generated; they digested and edited the exposition. \\,"The small-prime-factor extremal function in Erdos problem 684 has polylogarithmic upper growth, with logarithmic lower growth on an infinite sequence.",Erdos posed the exact extremal question in 1979 as the problem now catalogued as number 684.,"The paper greatly improves the previous exponent bound and supplies an infinite-sequence lower bound, but it does not determine the final order of growth.",The upper bound is uniform in n and the lower result concerns an infinite asymptotic sequence.,Only one direct prior quantitative attack on the exact target was located; indirect inputs and related problems do not satisfy the two-attempt rule.,Framed in 1979 and advanced in 2026: 47 years = 4.7 decades; the age override is unavailable because the advance is partial.,medium,0.1.0,pending_v1_audit
14,2026-03,2026-03-31,1,2,1,0,4,Superhuman,1994,2026,3.2,0,"partition-resistant additive basis. there exists an additive basis of order two such that for every partition , at least one of or has unbounded gaps. counterexample / construction . model-generated proof, checked and rewritten by expert authors. \\",There exists an additive basis A of order two such that every partition A=A1 union A2 leaves at least one monochromatic sumset Ai+Ai with unbounded gaps.,Burr and Erdos published this exact partition-resistant additive-basis question in 1994.,The explicit construction supplies the requested basis and answers the existence question in full.,The construction is infinite and its guarantee ranges over every partition of the basis.,"Erdos reported an unfinished proof, but a second independent attempt at the exact target was not found.","Framed in 1994 and solved in 2026: 32 years = 3.2 decades, satisfying the historical override.",high,0.1.0,pending_v1_audit
15,2026-03,2026-03-31,1,2,1,1,5,Superhuman,1964,2026,6.2,0,"prime multiples are not well distributed. for every real , the sequence of fractional parts , with prime, is not well distributed in the hlawka--petersen sense. proved . model-generated proof, checked and rewritten by expert authors. \\","For every real alpha, the sequence of prime multiples relevant to Erdos problem 997 is not well distributed.",Erdos formulated the exact universal conjecture in 1964.,"The theorem proves the claim for every real alpha, upgrading a known one-alpha existence result to the full conjecture.",The quantifier is uniform over every real alpha rather than a selected witness.,The record contains Erdos's failed or retracted proof attempt and an independent 2024 paper proving a substantial one-alpha subcase.,"Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.",high,0.1.0,pending_v1_audit
3,2026-04,2026-04-04,1,2,0,0,3,Superhuman,2014,2026,1.2,0,anderson's quasi-completeness problem. a weakly quasi-complete noetherian local ring need not be quasi-complete. counterexample +. end-to-end lean 4 proof with essentially no human involvement in solving/formalizing; separately presented in a human-verified paper. \\,There exists a Noetherian local ring that is weakly quasi-complete but not quasi-complete.,D. D. Anderson asked in 2014 whether weak quasi-completeness and quasi-completeness coincide for Noetherian local rings.,The constructed counterexample gives a complete negative answer.,"The decisive object is a single constructed witness, so this is not a uniform theorem over an unbounded class for the scope signal.","The published formulation establishes the target, but two independent pre-solution attempts on that exact equivalence were not documented.","Framed in 2014 and solved in 2026: 12 years = 1.2 decades, satisfying the historical override.",high,0.1.0,pending_v1_audit
16,2026-04,2026-04-08,1,2,1,1,5,Superhuman,1984,2026,4.2,0,"ordinary lines without an ordinary clique. for the nontrivial cases of erdos problem 960, there are planar sets with no four collinear, a bipartite ordinary-line graph, and quadratically many ordinary lines, refuting the conjectured sparse behavior. disproved . human-verified and digested; all nontrivial cases addressed in the paper. \\","For every r at least 3 and k at least 4, planar point sets with no k collinear points and no ordinary-line K_r can still have quadratically many ordinary two-point lines.",Erdos asked the exact ordinary-line growth question in 1984.,The construction resolves every nontrivial parameter pair and disproves the proposed subquadratic bound.,The construction is an infinite family uniform over the stated ranges of r and k.,Furedi and Palasti in 1984 and Escudero in 2016 independently developed configurations aimed at this ordinary-line and forbidden-clique frontier.,"Framed in 1984 and solved in 2026: 42 years = 4.2 decades, satisfying the historical override.",high,0.1.0,pending_v1_audit
17,2026-04,2026-04-08,1,2,1,1,5,Superhuman,1964,2026,6.2,0,"uniformly small exponential sums. a randomized dyadic construction gives a real sequence with near-optimal uniform control of its exponential sums, close to clunie's lower bound. construction . model-generated, expert-checked preprint. \\","There are coefficient choices whose uniform exponential-sum norm is o(k), with the stated square-root-logarithmic bound.",Erdos asked in 1964 whether the relevant extremal quantity A_k could be o(k).,The construction supplies a sublinear bound and therefore fully answers the yes-or-no target.,"It is an asymptotic construction for unbounded k, not a fixed-degree example.",Clunie in 1967 and Liu in 1969 independently established successive bounds on this exact extremal problem.,"Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.",high,0.1.0,pending_v1_audit
18,2026-04,2026-04-08,1,2,1,1,5,Superhuman,1976,2026,5.0,0,"-free critical graphs with few chords. there are arbitrarily large -free, -critical graphs in which every cycle has at most ten chords, disproving erdos problem 1091. counterexample . model found the family; human authors made a minor proof-level simplification. \\",There are arbitrarily large K4-free 4-chromatic graphs whose proper subgraphs are 3-colourable and whose every cycle has at most ten chords.,Erdos posed the unbounded chord-function question in 1976.,The unbounded family with a fixed chord bound gives a complete negative answer.,The construction works as an unbounded family rather than as one graph.,Larson in 1979 and Voss in 1982 made independent progress on successive chord bounds within the same problem line.,"Framed in 1976 and solved in 2026: 50 years = 5.0 decades, satisfying the historical override.",high,0.1.0,pending_v1_audit
19,2026-04,2026-04-08,1,2,1,1,5,Superhuman,1964,2026,6.2,0,"fewnomial erdos--tur\'an analogue. replacing polynomial degree by support size in a proposed root-discrepancy bound fails: a sparse bounded-height family has a positive real root of growing multiplicity. counterexample . model-generated, expert-checked preprint. \\",Explicit sparse polynomials violate the proposed fewnomial Erdos-Turan discrepancy bound for arbitrarily large parameter values.,Erdos stated the exact sparse-polynomial discrepancy conjecture in 1964.,The explicit all-scale family fully disproves the conjectured universal bound.,The counterexamples form an unbounded family indexed by N rather than a single exceptional polynomial.,Hayman's 1972 linear bound and Hrubes's 2013 work on the same sparse-root frontier are independent quantitative attacks preceding the resolution.,"Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.",high,0.1.0,pending_v1_audit
